URL,label
http://www.apdocroto.gq,0
https://squirrel-a4x4-fp89.9m-816844780.workers.dev/,0
https://tsgcc-handoffire.org.ng/errore.php,0
https://www.photoniques.com,1
https://gateway.pinata.cloud/ipfs/bafybeibaa7e3gul6xq5pbnlr3h7iqpxinnrr2au73ic4di2pqwdxu4l5da,0
https://krakewen.godaddysites.com/,0
https://www.rfebm.com,1
https://www.imvely.jp,1
http://www.ediran.vip,0
https://www.lingref.com,1
https://www.runasakashicas.com,1
https://www.ilpaesedeicampanelli.it,1
https://2rinotn7rpsji.guildfordmosque.com/baxbghtan52/,0
https://slovenije-posta.web.app/,0
https://www.alpes-et-midi.fr,1
https://redirectioncjv.firebaseapp.com/,0
https://www.howtofire.com,1
https://www.nachtmanufaktur.de,1
http://www.prostitutki-tomska.xyz,0
https://www.blueagatecreative.com,1
https://www.linneahjelm.com,1
https://www.mansfieldct.gov,1
https://www.floridatrend.com,1
http://ch99865.tw1.ru/credit-agricole/,0
https://www.hcltech.com,1
http://www.jsc33333.com,0
http://cn01450.tw1.ru/credit-agricole,0
http://www.jordanthedev.com,0
http://www.5927399.com,0
http://www.rakutan-cacd.llecloh.cn/,0
https://www.orlandoshippingcontainers.com,1
https://www.lyonmag.com,1
https://www.jennerfamilybeef.com,1
https://www.columbiaco.com,1
http://www.monbjrd.com,0
https://www.mutfakci.az,0
https://www.cnmilaw.org,1
http://www.11d.xcquy.com,0
https://www.sendmybag.com,1
https://www.evrazna.com,1
https://www.yhphnetwork.co.uk,1
https://www.orchardway.com,1
http://hrhmtkqdjv.duckdns.org,0
https://www.grinmint.com,1
https://www.angryflower.com,1
https://www.boriswatch.co.uk,1
https://www.bestbrakepads.com,1
https://documents.uvzcknthvfffqjzakuxgdrnthu.workers.dev/,0
https://www.stasi-mediathek.de,1
https://www.toho-shoten.co.jp,1
https://www.nucnet.org,1
https://www.naturalbeauty.no,1
http://www.rakoten-caod.pqhtwaa.cn/,0
https://www.clean.io,1
https://www.darlingdarleen.com,1
http://www.agencenote009.web.app,0
https://www.buffaloschools.org,1
http://www.cloud2cdn.com,0
https://www.automotiveaddicts.com,1
http://www.44xjxj.com,0
https://www.bomoshop.hu,1
https://steamncommuuntiy.com/proflies/765611983644799552,0
https://www.graysofwestminster.co.uk,1
http://www.enyemn.info,0
https://www.guilford.edu,1
https://mobile-bov.web.app/,0
https://www.kblacksmiles.com,1
http://www.ourtimepicture012.akas.pe/,0
https://www.rossinisimagens.com.br,1
https://www.lightrail.nl,1
https://www.usfk.mil,1
https://www.acr-news.com,1
https://rubertijames-b1517.firebaseapp.com/,0
https://www.tunisiaonlinenews.com,1
https://www.moxiesalonandbeautybar.com,1
https://maildinshaakckjnw308.web.app/,0
https://www.spiritualityandpractice.com,1
http://uye.ctsmg.org.tr,0
https://www.knysnamuseums.co.za,1
https://aol-mail-105857.weeblysite.com/,0
https://www.hdsentinel.com,1
https://www.prezunic.com.br,1
